date,start_time,duration,location,witnesses,colors,remarks,year,quarter,duration_seconds,country
05-08-2022,13:32,8 sek,"8909 Torghatten,",2,ukendt,se beretning,2023,3,8,Norge
10-09-2022,00:30,3 sek,6261 Bredebro,1,"blå, grøn",se beretning,2023,3,3,Danmark
06-07-2023,15:46,3 sek,6240 Løgumkloster,1,"hvid, sølv",se beretning,2023,3,3,Danmark
16-07-2023,23:56,60–90 sek,"07601 Manavgat/Antalya, Tyrkiet",5,ukendt,se beretning,2023,3,90,Danmark
21-07-2023,23:25,8 min,8585 Glesborg,2,"grøn, hvid",se beretning,2023,3,480,Danmark
23-08-2023,19:00,5 min,2000 Frederiksberg,2,hvid,se beretning,2023,3,300,Danmark
24-08-2023,23:40,ca. 10 min,6300 Gråsten,1,ukendt,Projektørlysse beretning,2023,3,600,Danmark
01-09-2023,21:15,5 sek,9530 Støvring,2,hvid,se beretning,2023,3,5,Danmark
01-09-2023,21:55,1–2 min,4200 Slagelse,1,rød,se beretning,2023,3,120,Danmark
06-09-2023,17:05,2–3 sek,8464 Galten,1,sølv,se beretning,2023,3,3,Danmark
09-09-2023,23:00,ca. 1–2 min,2650 Hvidovre,1,rød,se beretning,2023,3,120,Danmark
16-09-2023,23:00,5–10 sek,4660 Store Heddinge,2,ukendt,fuglese beretning,2023,3,10,Danmark
30-09-2023,22:40,?,"8600 Voel,  Silkeborg",1,"grøn, rød",se beretning,2023,3,0,Danmark
20-12-1999,00:00,30 sek,7860 Spøttrup,1,gul,se beretning,2023,4,30,Danmark
30-08-2022,22:40,20 sek,4791 Borre,1,hvid,se beretning,2023,4,20,Danmark
20-08-2023,00:10,1 min,4295 Stenlille,1,ukendt,se beretning,2023,4,60,Danmark
14-09-2023,23:15,20 min,4220 Korsør,1,hvid,projektørlysse beretning,2023,4,1200,Danmark
05-10-2023,20:54,2 min,"03189 Orihuela Costa, Las Colinas Golf,",2,ukendt,se beretning,2023,4,120,Spanien
08-10-2023,22:15,5 min,7190 Billund,1,"hvid, rød",flylysse beretning,2023,4,300,Danmark
12-10-2023,20:17,1 min,4540 Fårevejle,2,hvid,Starlinkse beretning,2023,4,60,Danmark
12-10-2023,20:15,ca. 30 sek,4700 Næstved,1,ukendt,Starlinkse beretning,2023,4,30,Danmark
12-10-2023,20:15,?,6330 Bov,2,ukendt,Starlinkse beretning,2023,4,0,Danmark
12-10-2023,20:16,?,6300 Gråsten,2,ukendt,Starlinkse beretning,2023,4,0,Danmark
12-10-2023,20:20,ca. 20 sek,4990 Sakskøbing,1,ukendt,Starlinkse beretning,2023,4,20,Danmark
12-10-2023,21:45,15 min,6100 Haderslev,1,"hvid, rød",se beretning,2023,4,900,Danmark
15-10-2023,07:00,15 min,5250 Odense SV,1,"gul, hvid",se beretning,2023,4,900,Danmark
22-10-2023,23:00,5 min,5700 Svendborg,1,"hvid, rød",se beretning,2023,4,300,Danmark
25-11-2023,18:30,?,4281 Gørlev,1,hvid,se beretning,2023,4,0,Danmark
28-11-2023,22:17,3,2300 København S,2,hvid,se beretning,2023,4,180,Danmark
15-02-1975,23:00,10 min,2970 – Isterødvejen Hørsholm-Hillerød,1,hvid,se beretning,2022,1,600,Danmark
15-10-1989,23:30,8–10 min,2990 Nivå,1,hvid,se beretning,2022,1,600,Danmark
10-12-2021,21:30,30 sek,6900 Skjern,1,"grå, grøn, rød",se beretning,2022,1,30,Danmark
11-01-2022,03:40,kort,"8881 Aidt,  Thorsø",1,hvid,se beretning,2022,1,0,Danmark
02-03-2022,22:00,>30 min,"7130 Klejs,  Juelsminde",3,hvid,Siriusse beretning,2022,1,1800,Danmark
03-03-2022,22:55,1½ t,3650 Ølstykke,5,"blå, grøn, gul, hvid, rød",se beretning,2022,1,60,Danmark
04-03-2022,04:54,6 min,2700 Brønshøj,1,hvid,Starlinkse beretning,2022,1,360,Danmark
04-03-2022,04:55,3–5 min,2640 Hedehusene,1,hvid,Starlinkse beretning,2022,1,300,Danmark
04-03-2022,05:00,50–60 sek,8832 Skals,1,hvid,Starlinkse beretning,2022,1,60,Danmark
06-03-2022,20:00,5 sek,3650 Ølstykke,2,ukendt,se beretning,2022,1,5,Danmark
06-03-2022,20:25,2–3 sek,2670 Greve,1,ukendt,Ildkuglese beretning,2022,1,3,Danmark
07-03-2022,23:20,10 sek,3500 Værløse,1,hvid,se beretning,2022,1,10,Danmark
16-03-2022,12:44,30 sek,3400 Hillerød,1,sølv,se beretning,2022,1,30,Danmark
13-02-2021,22:30,20–30 sek,8560 Kolind,1,ukendt,se beretning,2022,2,30,Danmark
24-12-2021,15:47,10–15 min,4320 Lejre,3,hvid,se beretning,2022,2,900,Danmark
11-02-2022,21:52,8 sek,1432 København K,1,ukendt,se beretning,2022,2,8,Danmark
27-02-2022,06:47,5 min,"7620 Gudum,  Lemvig",1,"gul, hvid",se beretning,2022,2,300,Danmark
27-02-2022,23:45,6–7 sek,5000 Odense C,1,rød,se beretning,2022,2,7,Danmark
22-03-2022,05:15,6–8 sek,3360 Liseleje,1,sort,se beretning,2022,2,8,Danmark
03-04-2022,01:03,ca. 5 sek,2300 København S,1,sølv,se beretning,2022,2,5,Danmark
03-04-2022,04:48,10 sek,8382 Hinnerup,1,grøn,dronese beretning,2022,2,10,Danmark
20-04-2022,14:40,20 sek,8800 Viborg,1,sølv,se beretning,2022,2,20,Danmark
24-04-2022,23:11,3 sek,6933 Kibæk,1,"gul, hvid",se beretning,2022,2,3,Danmark
01-05-2022,22:35,10 sek,6280 Højer,1,hvid,Evt. Starlinkse beretning,2022,2,10,Danmark
06-05-2022,02:07,2 sek,8000 Aarhus C,1,sort,se beretning,2022,2,2,Danmark
09-05-2022,23:45,?,6400 Sønderborg,1,blå,se beretning,2022,2,0,Danmark
14-05-2022,22:39,3 min,5900 Rudkøbing,2,"grøn, hvid, rød",se beretning,2022,2,180,Danmark
20-05-2022,00:00,?,2610 Rødovre,1,grøn,se beretning,2022,2,0,Danmark
21-05-2022,20:25,1 min,2820 Gentofte,1,sort,se beretning,2022,2,60,Danmark
04-06-2022,23:34,10 sek,9260 Gistrup,2,ukendt,se beretning,2022,2,10,Danmark
05-06-2022,22:19,5–7 sek,7000 Fredericia,2,hvid,se beretning,2022,2,7,Danmark
16-06-2022,00:00,?,5762 Vester Skerninge,4,hvid,se beretning,2022,2,0,Danmark
18-06-2022,02:40,ca. 2 min 30 sek,7430 Ikast,1,"blå, hvid",se beretning,2022,3,150,Danmark
30-07-2022,00:15,ca. 5 sek,4130 Viby Sjælland,2,"blå, hvid",se beretning,2022,3,5,Danmark
08-07-2022,02:30,>1 t,6200 Aabenraa,1,"gul, hvid",se beretning,2022,3,3600,Danmark
01-08-2022,22:59,30 sek,5750 Ringe,2,gul,se beretning,2022,3,30,Danmark
02-08-2022,02:40,4–5 min,2200 København N,1,hvid,se beretning,2022,3,300,Danmark
04-08-2022,01:00,12–18 sek,8250 Egå,1,gul,se beretning,2022,3,18,Danmark
04-08-2022,00:30,3 min,4200 Slagelse,3,ukendt,se beretning,2022,3,180,Danmark
04-08-2022,20:15,45 min,5762 Vester Skerninge,5,ukendt,se beretning,2022,3,2700,Danmark
05-08-2022,00:30,1 min,8585 Glesborg,8,hvid,se beretning,2022,3,60,Danmark
12-08-2022,22:30,<45 min,Tornbjerg5220 Odense SØ,1,"gul, rød",se beretning,2022,3,2700,Danmark
12-08-2022,22:40,30 sek,4100 Ringsted,2,"sort, sølv",se beretning,2022,3,30,Danmark
13-08-2022,00:30,2 min,5932 Humble,1,gul,se beretning„Raketbrændstof“,2022,3,120,Danmark
13-08-2022,00:30,4 min,5000 Odense C,1,hvid,se beretning„Raketbrændstof“,2022,3,240,Danmark
13-08-2022,00:45,ca. 1 min,6800 Varde,1,"gul, hvid",se beretning„Raketbrændstof“,2022,3,60,Danmark
13-08-2022,00:54,ca. 3 min,3070 Snekkersten,2,"gul, hvid",se beretning„Raketbrændstof“,2022,3,180,Danmark
13-08-2022,00:54,4–5 min,"7400 Tjørring,  Herning",1,hvid,se beretning„Raketbrændstof“,2022,3,300,Danmark
13-08-2022,00:55,4 min,2980 Kokkedal,2,gul,se beretning„Raketbrændstof“,2022,3,240,Danmark
13-08-2022,00:55,2 min,3400 Hillerød,2,"blå, hvid",se beretning„Raketbrændstof“,2022,3,120,Danmark
13-08-2022,00:56,2 min,6990 Vedersø Klit,2,gul,se beretning„Raketbrændstof“,2022,3,120,Danmark
13-08-2022,00:57,4 min,"8592 Ørkenen, Anholt",7,blå,se beretning„Raketbrændstof“,2022,3,240,Danmark
13-08-2022,00:00,5 min,6600 Vejen,1,"hvid, sølv",se beretning„Raketbrændstof“,2022,3,300,Danmark
