date,start_time,duration,location,witnesses,colors,remarks,year,quarter,duration_seconds,country,postnr,latitude,longitude
16-10-2024,18:48,1 min,8320 Mårslet,1,"grå, hvid, sort",Fotosag Kondensstribe,2024,4,60,Danmark,8320,56.0658713,10.15312251
20-10-2024,01:56,2 min,8620 Kjellerup,1,grå,Fotosag Opgivet,2024,4,120,Danmark,8620,56.2882506,9.39095532
20-10-2024,09:35,,4250 Fuglebjerg,2,"grå, hvid",Fotosag Fugl,2024,4,0,Danmark,4250,55.31864081,11.55229442
22-10-2024,22:40,1–2 sek,8464 Galten,1,ukendt,Meteor,2024,4,2,Danmark,8464,56.17800104,9.91179535
23-10-2024,20:25,5 min,8384 Malling,2,ukendt,,2024,4,300,Danmark,8384,,
24-10-2024,17:00,mere end 3 min,,2,ukendt,Fotosag Projektørlys,2024,4,180,Tyskland,nan,,
24-10-2024,21:30,fle­re timer,"6000 Eltang,  Kolding",2,ukendt,FotosagOpgivet,2024,4,0,Danmark,6000,55.50221297,9.46847631
25-10-2024,18:00,4–6 sek,8600 Silkeborg,1,ukendt,,2024,4,6,Danmark,8600,56.17147071,9.4900253
03-11-2024,17:05,1 sek,3000 Helsingør,1,grøn,Fotosag Kamera-refleks,2024,4,1,Danmark,3000,56.03943161,12.61245096
09-11-2024,23:00,mere end 1 min,6470 Sydals,2,sølv,,2024,4,60,Danmark,6470,54.87308589,10.03587811
12-11-2024,20:30,2 min,3390 Hundested,1,"gul, rød",,2024,4,120,Danmark,3390,56.26445585,11.6705916
14-11-2024,18:15,2–3 min,6580 Vamdrup,2,hvid,Starlink satellitter,2024,4,180,Danmark,6580,55.41366579,9.34398711
14-11-2024,18:15,ca. 5 min,4736 Karrebæksminde,1,hvid,Starlink satellitter,2024,4,300,Danmark,4736,55.15521424,11.6361743
14-11-2024,18:17,2–3 min,"25373 Gantofta,",1,"gul, hvid",Fotosag Starlink satelitter,2024,4,180,Sverige,2537,,
14-11-2024,18:18,,5300 Kerteminde,1,ukendt,Fotosag Starlink satellitter,2024,4,0,Danmark,5300,55.49807432,10.8508032
14-11-2024,18:19,2–3 min,"4690 Dalby,  Haslev",1,ukendt,Fotosag Starlink satellitter,2024,4,180,Danmark,4690,55.32031014,11.95519764
14-11-2024,18:20,ca. 4 min,8700 Horsens,2,hvid,Starlink satellitter,2024,4,240,Danmark,8700,55.86597915,9.89301425
14-11-2024,18:25,30 sek,4792 Askeby,4,"blå, hvid",Starlink satellitter,2024,4,30,Danmark,4792,54.7375487,12.52545007
14-11-2024,18:30,5 min,4800 Nykøbing F,1,sort,Starlink satellitter,2024,4,300,Danmark,4800,54.7930621,11.90198993
14-11-2024,18:30,30 sek,6740 Bramming,1,hvid,Starlink satellitter,2024,4,30,Danmark,6740,55.46065157,8.70168486
16-11-2024,23:17,ca. 2 min,4673 Rødvig,1,blå,Fotosag,2024,4,120,Danmark,4673,55.20085779,12.38750748
17-11-2024,20:52,1 min,8870 Langå,1,ukendt,,2024,4,60,Danmark,8870,56.3806496,9.90941177
18-11-2024,18:47,ca. 1 min,8800 Viborg,3,"hvid, sort",Starlink satellitter,2024,4,60,Danmark,8800,56.41681148,9.36897659
18-11-2024,18:47,ca. 1 min,6100 Haderslev,1,hvid,Fotosag. Starlink satellitter,2024,4,60,Danmark,6100,55.24177268,9.61886938
18-11-2024,18:47,5–10 min,6100 Haderslev,1,hvid,Starlink satellitter,2024,4,600,Danmark,6100,55.24177268,9.61886938
18-11-2024,18:50,1–2 min,4840 Nørre Vedby,2,ukendt,Starlink satellitter,2024,4,120,Danmark,4840,54.93527293,11.78722678
18-11-2024,18:50,1 min,5750 Ringe,2,hvid,Starlink satellitter,2024,4,60,Danmark,5750,55.2209888,10.42313811
19-11-2024,19:00,1 min,7100 Vejle,1,hvid,Starlink satellitter,2024,4,60,Danmark,7100,55.69052913,9.5066267
19-11-2024,21:00,2 min,6600 Vejen,1,gul,Varmluftballon,2024,4,120,Danmark,6600,55.4784284,9.11204215
21-11-2024,18:45,ca. 3 min,5560 Aarup,2,ukendt,Starlink,2024,4,180,Danmark,5560,55.37369367,10.03851749
22-11-2024,19:45,15–30 sek,6000 Kolding,1,ukendt,,2024,4,30,Danmark,6000,55.50221297,9.46847631
29-11-2024,16:46,under 10 sek.,1051 København K,1,"blå, grå",Fotosag Kamera-refleks,2024,4,10,Danmark,1051,55.6798377,12.59022696
01-12-2024,01:05,ca. 5 sek,5856 Ryslinge,1,hvid,,2024,4,5,Danmark,5856,55.23725238,10.54368086
11-12-2024,21:00,mere end 3 min,4780 Stege,1,"blå, rød",,2024,4,180,Danmark,4780,54.9362949,12.31627561
11-12-2024,23:55,20 min,3450 Allerød,2,ukendt,Fotosag Sirus,2024,4,1200,Danmark,3450,55.86605512,12.33661891
19-12-2024,17:20,,4050 Skibby,2,hvid,Projektørlys,2024,4,0,Danmark,4050,55.75873813,12.01351904
20-12-2024,17:05,2–3 min,5240 Odense NØ,1,hvid,Satellit,2024,4,180,Danmark,5240,55.42123207,10.44332209
20-12-2024,23:11,5 min,6000 Kolding,1,hvid,Fotosag Fly,2024,4,300,Danmark,6000,55.50221297,9.46847631
26-12-2024,06:40,10 min,8471 Fajstrup,1,hvid,,2024,4,600,Danmark,8471,56.21127538,10.01547147
02-01-2023,21:03,10 sek,5492 Vissenbjerg,1,blå,se beretning,2023,1,10,Danmark,5492,55.39228422,10.13229762
12-01-2023,05:40,15 sek,2750 Ballerup,1,hvid,se beretning,2023,1,15,Danmark,2750,55.73668449,12.3638449
16-01-2023,03:10,25 sek,8000 Aarhus C,1,rød,se beretning,2023,1,25,Danmark,8000,56.15051496,10.27802097
16-01-2023,08:20,10–15 min,8240 Risskov,2,gul,se beretning,2023,1,900,Danmark,8240,56.18719668,10.24680782
18-01-2023,19:00,5 min,9382 Tylstrup,1,"blå, hvid, rød",Flyse beretning,2023,1,300,Danmark,9382,57.20308117,9.9350316
27-01-2023,18:15,30 min,4800 Nykøbing F,2,"grøn, hvid, rød",se beretning,2023,1,1800,Danmark,4800,54.7930621,11.90198993
30-01-2023,22:50,25min,8464 Galten,1,"gul, hvid",Siriusse beretning,2023,1,1500,Danmark,8464,56.17800104,9.91179535
01-02-2023,06:37,?,7500 Holstebro,1,ukendt,se beretning,2023,1,0,Danmark,7500,56.34794414,8.58519299
04-02-2023,17:56,1 sek,6740 Bramming,1,"grå, gul, hvid",se beretning,2023,1,1,Danmark,6740,55.46065157,8.70168486
04-02-2023,21:15,5 sek,"Søgård Sø, Hjerting6710 Esbjerg V",2,hvid,se beretning,2023,1,5,Danmark,6710,55.55262453,8.34866677
18-02-2023,07:36,5 sek,2970 Hørsholm,1,hvid,se beretning,2023,1,5,Danmark,2970,55.88126308,12.43890506
19-02-2023,06:31,4–8 sek,8752 Østbirk,1,hvid,Ildkuglese beretning,2023,1,8,Danmark,8752,55.96885636,9.75712583
19-02-2023,06:32,5 sek,2650 Avedøre,2,hvid,Ildkuglese beretning,2023,1,5,Danmark,2650,55.58934868,12.46097002
19-02-2023,06:45,3–5 sek,2100 København Ø,1,hvid,Ildkuglese beretning,2023,1,5,Danmark,2100,55.7109795,12.57364633
21-02-2023,06:25,3 min,Maglelund2660 Brøndby Strand,3,hvid,Starlinkse beretning,2023,1,180,Danmark,2660,55.61998785,12.42233883
21-02-2023,11:00,3 min,8350 Hundslund,5,hvid,se beretning,2023,1,180,Danmark,8350,55.90552571,10.05739341
26-02-2023,20:23,5 sek,2840 Holte,2,"gul, orange",se beretning,2023,1,5,Danmark,2840,55.81684549,12.48640452
26-02-2023,20:50,ca. 10 min,3460 Birkerød,2,"rød, sort",se beretning,2023,1,600,Danmark,3460,55.84270608,12.41757019
28-02-2023,20:10,1 min,3000 Helsingør,1,grøn,se beretning,2023,1,60,Danmark,3000,56.03943161,12.61245096
01-03-2023,00:00,ca. 1 t,2860 Søborg,1,"gul, hvid, rød",Konjunktion Venus Jupiterse beretning,2023,1,3600,Danmark,2860,55.73800813,12.48425242
05-03-2023,20:50,ca. 3 sek,4600 Køge,1,gul,se beretning,2023,1,3,Danmark,4600,55.45527126,12.22015308
08-03-2023,13:56,10 sek,8680 Ry,1,sølv,se beretning,2023,1,10,Danmark,8680,56.08481116,9.71786836
11-03-2023,11:23,1 sek,2300 København S,1,hvid,se beretning,2023,1,1,Danmark,2300,55.67362511,12.6554181
15-03-2023,09:37,1 sek,2300 København S,1,hvid,se beretning,2023,1,1,Danmark,2300,55.67362511,12.6554181
26-03-2023,05:00,15 min,9220 Aalborg Øst,3,blå,se beretning,2023,1,900,Danmark,9220,57.05425152,10.00949733
27-03-2023,21:00,20+ sek,9900 Frederikshavn,1,hvid,se beretning,2023,1,1200,Danmark,9900,57.52270103,10.72500277
06-08-2022,16:00,5 min,3760 Rø,2,"blå, hvid, sort",se beretning,2023,2,300,Danmark,3760,55.51191781,15.21574747
05-04-2023,05:10,5–7 min,E45 mellem Christiansfeld og Kolding S,1,hvid,se beretning,2023,2,420,Danmark,nan,,
17-04-2023,22:56,10 sek,2860 Søborg,1,hvid,se beretning,2023,2,10,Danmark,2860,55.73800813,12.48425242
18-04-2023,20:00,"8,2 sek",8240 Risskov,1,grøn,se beretning,2023,2,2,Danmark,8240,56.18719668,10.24680782
18-04-2023,20:30,"0,5 sek",8240 Risskov,1,grøn,se beretning,2023,2,5,Danmark,8240,56.18719668,10.24680782
18-04-2023,22:05,2 sek,7100 Vejle,2,gul,ildkuglese beretning,2023,2,2,Danmark,7100,55.69052913,9.5066267
22-04-2023,23:00,4 sek,4534 Hørve,2,hvid,se beretning,2023,2,4,Danmark,4534,55.76162863,11.40509
02-05-2023,00:43,4 min,8400 Ebeltoft,1,hvid,se beretning,2023,2,240,Danmark,8400,56.14931257,10.82632626
02-05-2023,00:00,1 sek,6470 Sydals,1,ukendt,se beretning,2023,2,1,Danmark,6470,54.87308589,10.03587811
08-05-2023,24:00,8 sek,4660 Store Heddinge,1,"grå, hvid",se beretning,2023,2,8,Danmark,4660,55.33554618,12.51110642
13-05-2023,01:00,ca. 60 sek,2950 Vedbæk,2,hvid,se beretning,2023,2,60,Danmark,2950,55.86532817,12.64375317
17-05-2023,02:45,ca. 2 min,4100 Ringsted,1,ukendt,Starlinkse beretning,2023,2,120,Danmark,4100,55.43053197,11.82805925
20-05-2023,12:01,?,3480 Fredensborg,1,"gul, hvid",se beretning,2023,2,0,Danmark,3480,55.97086354,12.40200836
21-05-2023,00:20,30 min,9574 Bælum,1,"gul, hvid",se beretning,2023,2,1800,Danmark,9574,56.8298458,10.12654857
27-05-2023,22:52,3 min,8400 Ebeltoft,3,rød,se beretning,2023,2,180,Danmark,8400,56.14931257,10.82632626
28-05-2023,00:20,1 min,8210 Aarhus V,1,hvid,Starlinkse beretning,2023,2,60,Danmark,8210,56.17162148,10.15819911
07-06-2023,09:40,10 min,2000 Frederiksberg,2,hvid,se beretning,2023,2,600,Danmark,2000,55.67945641,12.51562935
07-06-2023,16:40,6–7 min,8930 Randers NØ,2,ukendt,se beretning,2023,2,420,Danmark,8930,56.50265825,10.1724293
08-06-2023,00:05,2x30 sek,"29639 Montebello, Benalmádena,",1,"grøn, hvid, rød",se beretning,2023,2,30,Spanien,2963,,
10-06-2023,04:40,2 sek,6520 Toftlund,1,hvid,se beretning,2023,2,2,Danmark,6520,55.18306206,9.0451996
17-06-2023,23:30,?,4305 Orø,1,"hvid, sort",se beretning,2023,2,0,Danmark,4305,55.78240201,11.80968567
18-06-2023,04:03,30 sek,2450 København SV,1,sort,se beretning,2023,2,30,Danmark,2450,55.64077611,12.52309722
20-06-2023,01:14,ca. 20 sek,5932 Humble,1,hvid,se beretning,2023,2,20,Danmark,5932,54.81821541,10.63436277
